Ticker,forwardPE,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities,marketCapLevel_high,marketCapLevel_low,marketCapLevel_mid,growthValueType_growth,growthValueType_neutral,growthValueType_value
DLTR,15.356436,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
FITB,10.845205,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
APA,7.081818,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
FE,13.801037,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
BBY,10.926169,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
AME,24.58904,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
CFG,10.803618,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
TDG,33.00897,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
TXT,11.626866,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
SBAC,24.666304,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
LH,16.138577,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
HIG,10.783807,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
K,67.89583,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
BMRN,19.334448,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
CTAS,47.267097,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
TSN,15.921428,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
NOV,8.471154,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
NEM,13.719321,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
CAH,17.70023,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
FAST,19.452053,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
PFG,9.08756,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
VRSN,31.893644,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
SWKS,11.635938,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
O,36.009434,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
HBAN,12.100746,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
MKC,24.205128,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
MKL,19.604998,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
RMD,24.564627,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
GWW,25.663145,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
ESS,47.61379,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
LNG,20.466843,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
ULTA,20.210974,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
AWK,24.75114,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
RSG,36.41263,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
KLAC,25.898232,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
EFX,28.77577,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
LULU,17.339249,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
AEE,19.422764,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
MSCI,32.76878,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
CMA,10.713504,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
MTD,28.458334,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
OMC,8.434028,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
HST,16.54639,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
ANSS,31.211626,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
